region,year,population,low_income_pop,grdp_per_capita,business_count,judges,practicing,aid_cases,total_cases,civil_main,criminal_trial
강원,2020,1542840.0,74329.0,32026.0,150422.0,,,3921.0,23516.0,14277.0,7551.0
충북,2020,1600837.0,63967.0,42667.0,138598.0,,,4145.0,25221.0,16761.0,6733.0
충남권,2020,3940742.0,141400.0,42915.50626734762,327652.0,,,8766.0,66528.0,43052.0,18591.0
경북권,2020,5057768.0,244723.0,32247.678852410787,457012.0,,,13094.0,86089.0,54335.0,26249.0
경남권,2020,7868179.0,355566.0,34607.83776970504,683266.0,,,24189.0,151165.0,100427.0,41218.0
전북,2020,1804104.0,109921.0,29252.0,156779.0,,,6458.0,31416.0,20701.0,8681.0
전남권,2020,3301611.0,169503.0,37138.885301448296,289069.0,,,9514.0,61729.0,38792.0,18960.0
제주,2020,674635.0,26896.0,29334.0,68491.0,,,2140.0,15008.0,9040.0,5047.0
서울,2021,9509458.0,392527.0,49680.0,,,,27676.0,420395.0,361446.0,40354.0
경기,2021,16513825.0,558289.0,37927.739949708804,,,,35146.0,268367.0,178300.0,69860.0
강원,2021,1538492.0,79753.0,33679.0,,,,3662.0,21850.0,13139.0,7054.0
충북,2021,1597427.0,71095.0,46123.0,,,,3364.0,22835.0,15064.0,6110.0
충남권,2021,3943403.0,156989.0,46199.39515667052,,,,9408.0,62506.0,40666.0,17011.0
경북권,2021,5012021.0,273094.0,34637.04529170967,,,,12544.0,78349.0,50164.0,23032.0
경남권,2021,7786155.0,401204.0,37136.25102274486,,,,22190.0,137062.0,92172.0,35386.0
전북,2021,1786855.0,120144.0,31187.0,,,,6459.0,28840.0,19120.0,7751.0
전남권,2021,3274414.0,185123.0,40857.82808313182,,,,9141.0,55879.0,36073.0,15814.0
제주,2021,676759.0,30634.0,29988.0,,,,2012.0,13424.0,8520.0,3956.0
서울,2022,9428372.0,402664.0,51612.0,,,,21245.0,403229.0,347994.0,38641.0
경기,2022,16556746.0,584798.0,39131.32177288943,,,,24817.0,242374.0,158270.0,64731.0
강원,2022,1536498.0,81160.0,34426.0,,,,2423.0,20486.0,11398.0,7534.0
충북,2022,1595058.0,73264.0,48616.0,,,,2746.0,21075.0,12757.0,6720.0
충남권,2022,3952700.0,163313.0,47653.638752751285,,,,7402.0,56358.0,35175.0,16639.0
경북권,2022,4964183.0,283232.0,35720.04385978518,,,,10155.0,70981.0,43763.0,22288.0
경남권,2022,7708968.0,425317.0,40304.905911919726,,,,18588.0,124724.0,78957.0,36763.0
전북,2022,1769607.0,123431.0,32464.0,,,,4582.0,25676.0,16606.0,7219.0
전남권,2022,3248747.0,190352.0,42382.20462658373,,,,8162.0,50157.0,31687.0,14753.0
제주,2022,678159.0,31697.0,31150.0,,,,1767.0,12991.0,7516.0,4620.0
서울,2023,9386034.0,418212.0,,,,,21262.0,421777.0,362824.0,42641.0
경기,2023,16628231.0,620278.0,,,,,28569.0,263917.0,173510.0,71721.0
강원,2023,1527807.0,82055.0,,,,,2457.0,20747.0,12063.0,7172.0
충북,2023,1593469.0,76073.0,,,,,2855.0,23250.0,14470.0,7053.0
충남권,2023,3958860.0,170067.0,,,,,6491.0,61101.0,38342.0,18234.0
경북권,2023,4929284.0,293268.0,,,,,11336.0,69909.0,43400.0,21868.0
경남권,2023,7648181.0,443118.0,,,,,20171.0,124854.0,77028.0,39430.0
전북,2023,1754757.0,126481.0,,,,,4377.0,26584.0,16901.0,7901.0
전남권,2023,3223454.0,195854.0,,,,,8267.0,53633.0,33844.0,16080.0
제주,2023,675252.0,33202.0,,,,,1911.0,13394.0,7689.0,4881.0
서울,2024,9331828.0,434287.0,,,,24572.0,22072.0,398500.0,340346.0,41876.0
경기,2024,16715695.0,660736.0,,,,2631.0,31645.0,282243.0,192828.0,70933.0
강원,2024,1517766.0,84290.0,,,,192.0,3020.0,23226.0,13904.0,7805.0
충북,2024,1591177.0,79187.0,,,,232.0,2891.0,24972.0,15708.0,7690.0
충남권,2024,3966416.0,178605.0,,,,813.0,6686.0,67013.0,43280.0,19380.0
경북권,2024,4895013.0,306063.0,,,,847.0,12661.0,78234.0,49661.0,23805.0
경남권,2024,7593027.0,461912.0,,,,1882.0,22035.0,130618.0,84371.0,38154.0
전북,2024,1738690.0,130243.0,,,,321.0,4935.0,27523.0,17321.0,8504.0
전남권,2024,3197241.0,203162.0,,,,629.0,8742.0,59419.0,38921.0,16962.0
제주,2024,670368.0,35293.0,,,,154.0,2495.0,14778.0,9026.0,4872.0
