region,year,population,low_income_pop,grdp_per_capita,practicing,aid_cases,total_cases,civil_main,criminal_trial
전북,2017,1854607.0,89275.0,,,7077.0,,,
제주,2017,657083.0,20053.0,31470.0,,2088.0,,,
서울,2018,9765623.0,277991.0,43664.0,,33627.0,,,
경기,2018,13077153.0,281505.0,36821.0,,33474.74221158641,,,
인천,2018,2954642.0,105440.0,30194.0,,7563.257788413587,,,
강원,2018,1543052.0,62914.0,,,4769.0,,,
충북,2018,1599252.0,53726.0,43016.0,,5779.0,,,
대전권,2018,3930344.0,118564.0,41915.01044590499,,10903.0,,,
대구권,2018,5138600.0,205632.0,32280.75131475499,,14913.0,,,
부산,2018,3441453.0,153741.0,26464.0,,10230.587822152727,,,
울산,2018,1155623.0,21894.0,63793.0,,3435.381099436662,,,
경남,2018,3373988.0,106360.0,32993.0,,10030.031078410611,,,
광주권,2018,3342306.0,148928.0,35373.347268023936,,10464.0,,,
전북,2018,1836832.0,95745.0,,,7087.0,,,
제주,2018,667191.0,21341.0,30721.0,,2309.0,,,
서울,2019,9729107.0,306548.0,45118.0,,33706.0,,,
경기,2019,13239666.0,312511.0,36064.0,,37649.20248085226,,,
인천,2019,2957026.0,117111.0,30584.0,,8408.797519147736,,,
강원,2019,1541502.0,67269.0,,,5089.0,,,
충북,2019,1600007.0,57076.0,42704.0,,5007.0,,,
대전권,2019,3939154.0,125687.0,41755.7447324984,,11984.0,,,
대구권,2019,5103867.0,219361.0,32344.011496577008,,15782.0,,,
부산,2019,3413841.0,167251.0,27577.0,,12059.828905182,,,
울산,2019,1148019.0,25545.0,65112.0,,4055.523593482571,,,
경남,2019,3362553.0,115599.0,34040.0,,11878.64750133543,,,
광주권,2019,3325213.0,154845.0,36567.77007127062,,11741.0,,,
전북,2019,1818917.0,100656.0,,,7857.0,,,
제주,2019,670989.0,22553.0,30792.0,,2821.0,,,
서울,2020,9668465.0,359244.0,46221.0,,30263.0,,,
경기,2020,13427014.0,362988.0,36521.0,,29944.90888256588,,,
인천,2020,2942828.0,137676.0,30367.0,,6563.091117434121,,,
강원,2020,1542840.0,74329.0,,,3921.0,,,
충북,2020,1600837.0,63967.0,42667.0,,4145.0,,,
대전권,2020,3940742.0,141400.0,42915.50626734762,,8766.0,,,
대구권,2020,5057768.0,244723.0,32247.678852410787,,13094.0,,,
부산,2020,3391946.0,191283.0,27204.0,,10427.798070430274,,,
울산,2020,1136017.0,32210.0,60895.0,,3492.4364599483565,,,
경남,2020,3340216.0,132073.0,33186.0,,10268.76546962137,,,
광주권,2020,3301611.0,169503.0,37138.885301448296,,9514.0,,,
전북,2020,1804104.0,109921.0,,,6458.0,,,
제주,2020,674635.0,26896.0,29334.0,,2140.0,,,
서울,2021,9509458.0,392527.0,49680.0,,27676.0,,,
경기,2021,13565450.0,404621.0,38879.0,,28871.040216303612,,,
인천,2021,2948375.0,153668.0,33551.0,,6274.959783696388,,,
강원,2021,1538492.0,79753.0,,,3662.0,,,
충북,2021,1597427.0,71095.0,46123.0,,3364.0,,,
대전권,2021,3943403.0,156989.0,46199.39515667052,,9408.0,,,
대구권,2021,5012021.0,273094.0,34637.04529170967,,12544.0,,,
부산,2021,3350380.0,212567.0,29395.0,,9548.349885148704,,,
